[55.16164348 79.35715122]
[49.11906563 60.37168815]
[60.16240621 57.65947915]
[64.32970453 67.15221068]
[30.57458807 13.58608275]
[52.4529043  11.32590858]
[41.82629356 19.01050077]
[36.82553557 30.98942389]
[17.44759834 73.9327332 ]
[18.281058  54.4952353]
[25.15710025 54.94727014]
[25.57383008 55.39930497]
[25.57383008 55.39930497]
[34.95025132 70.31645452]
[66.20498878 38.67401608]
[67.45517828 27.59916263]
[77.03996444 25.33898846]
[74.33122052 31.21544131]
[74.33122052 38.44799867]
[77.03996444 33.24959807]
[55.78674296 68.50831518]
